,Tweets
49,"#JusticiaParaKeiko
#JusticiaParaKeiko https://t.co/bZNiysUddw"
50,"Es momento de parar las arbitrariedades de un fiscal desbocado, inflado por el poder mediático, y un Juez COPYPEGA… https://t.co/mh72UakwTX"
51,RT @lisarita1956: @DN_Mariano @FiscaliaPeru @IDL_R @KeikoFujimori @RichardMontoyaR @carlosc00268781 @Gatitadelsur @CMHNTM @veritatisperu @x…
52,"Sres. Sala de Apelaciones, Sr. Juez Salhuanay, A veces sentimos que es imposible enfrentar a un inmenso poder, pero… https://t.co/b6TFQLYhF2"
53,Es momento para que el @Poder_Judicial a través de la Sala de Apelaciones corrija las graves violaciones al debido… https://t.co/WXNH9lD3D7
54,@VEnriqueSD @DecanaCALPortoc Decepcionante papel de la Decana del Colegio de Abogados. En lugar de defender con ene… https://t.co/26T0bSoRxc
55,"RT @EBazanCis: @Wolfdruida @MartinVizcarraC TODO CALCULADO
Vizcarra permite que @FiscaliaPeru vaya contra intereses del Estado que acordó s…"
56,"RT @rociomiura9: @Wolfdruida @MartinVizcarraC Ademas de yapa les hago recordar que  el proceso electoral del 2016 fue todo un fraude, las c…"
57,RT @vicarlustreyo: https://t.co/PpTlx52uGI @LuzSalgado_R @Charin28705648 @RichardMontoyaR @NellyCuadrosC @MarthaChavezC @MariaPe23568631 @D…
58,"RT @Darsiney: @Wolfdruida @MartinVizcarraC Puro populismo, su referéndum no soluciona NADA. el sigue sigue siendo la misma mierda y mas aún…"
59,RT @MolinariJulia: @FiscaliaPeru @MPF_PGR @canalN_ @RPPNoticias @noticias_tvperu @Agencia_Andina @atv_noticias @elcomercio_peru @diariocorr…
60,RT @FiscaliaPeru: #FiscalíaInforma | Mediante comunicación oficial el Ministério Público Federal – Procuradoria-Geral da República de #Bras…
61,@socioperiodismo https://t.co/YnqdF2110R
62,"RT @basurtozegarra: @CarlosLavalle5 @Wolfdruida @MartinVizcarraC Si...pero es transitorio y como tal sólo debe gobernar ese período,,respet…"
63,"@CarlosLavalle5 @MartinVizcarraC Si bien es cierto que se elige un Presidente y 2 vice presidentes, Vizcarra no es… https://t.co/0CgMhMSeNb"
64,"RT @carlosc00268781: Entre seus irmãos da odebrecht y los hermanitos del IDL, Vizcarra  entrega de a pocos el país a la corrupción y al neo…"
65,RT @martinbelaundem: Como ex decano del CAL y expresidente de la Junta de Decano de los Colegios de Abogados del Peru expreso mi seria preo…
66,RT @KeikoFujimori: p. Keiko Fujimori: Mensaje a menos de 24 horas de mi audiencia de apelación: https://t.co/8JmjeLb7kw
67,"RT @FernandaAranib: De ser una desconocida trabajadora de servicio por CAS @ONPE_oficial n el 2014, pasó a fines del 2016 @MEF_Peru
Desde e…"
68,RT @Mickey230971: En Europa ni siquiera queda el recuerdo de esa Basura Satanista. https://t.co/U9y8ViXvXG
69,RT @GuidoRivera4: @Wolfdruida @MartinVizcarraC Nuevo escandalo de vizcarra!!! https://t.co/yn7RoUQYlm
70,RT @Nancylvalle: @Wolfdruida @MartinVizcarraC Se está dedicando a perseguir a todos sus opositores con ayuda de la red criminal  rojos cavi…
71,"RT @laconchacaviar: #Últimominuto | Alcalde saliente de Chiclayo, David Cornejo Chinguel se convierte en colaborador eficaz y delata a Clem…"
72,"#MafiaIDLGobiernaEnPeru
#MafiaIDLGobiernaEnPeru
#MafiaIDLGobiernaEnPeru
#MafiaIDLGobiernaEnPeru
Se debe expulsar de… https://t.co/pt68OkAEpi"
73,"#MafiaIDLGobiernaEnPeru
#MafiaIDLGobiernaEnPeru
#MafiaIDLGobiernaEnPeru
La ONG pretende mangonear en el sistema jud… https://t.co/MYpqb8TfFC"
74,Tendrìan que modificar la Constitución en dos legislaturas y con más de 86 votos. Ese es el procedimiento y el Cong… https://t.co/R2hKmJ5lsF
75,"RT @laconchacaviar: P
A
R
T
I
D
O

D
E

P
P
K

R
E
C
I
B
I
O

6

M
I
L
L
O
N
E
S

D
E

S
O
L
E
S

Y

N
O

S
A
B
E
N

D
E

Q
U
I
E
N. 

Y
A…"
76,@DecanaCALPortoc ¡Por favor! ¿Ese es el sentir del Colegio de abogados? Si tiene temor a alzar la voz por el atrope… https://t.co/YvAI4hWlgD
77,RT @gildatrkovic: @Caro60 @DN_Mariano @FiscaliaPeru @IDL_R @KeikoFujimori @RichardMontoyaR @carlosc00268781 @Gatitadelsur @CMHNTM @veritati…
78,RT @gildatrkovic: @Gatitadelsur @DN_Mariano @FiscaliaPeru @IDL_R @KeikoFujimori @RichardMontoyaR @carlosc00268781 @CMHNTM @veritatisperu @x…
79,RT @carlosc00268781: @DN_Mariano @FiscaliaPeru @IDL_R @KeikoFujimori @RichardMontoyaR @Gatitadelsur @CMHNTM @veritatisperu @xafu @manarelli…
80,RT @DN_Mariano: @FiscaliaPeru de Vela y Pérez con ayuda de @IDL_R  pretendieron impedir audiencia de apelación de @KeikoFujimori para recup…
81,"#MafiaIDLGobiernaElPeru
El fiscal Jose Perez, al que el IDL Protege hasta enviando recursos a la CIDH prretende obs… https://t.co/QiKy3s9YeS"
82,Sr. Vizcarra el pueblo no lo eligió. Ud. es un Presidente accidental que debe dedicarse a buscar el bienestar de la… https://t.co/ObCp5EJFw5
83,@rchavezsosa @Cecilia605040 @mavilahuertas @KarlaCalle @AlanGarciaPeru ¿Y qué agua serìa? ¿Evian? para haberla defe… https://t.co/z5c9k843G1
84,"RT @martinbelaundem: Mensaje a la Decana del CAL. ¿No considera ud que se recorta el derecho de defensa de Keiko,cuando se incluye a su abo…"
85,RT @GiullianaLoza: Ante este nuevo intento por afectar el derecho de defensa de #KeikoFujimori así como la limpia trayectoria de los abogad…
86,@JoseDomingoPe @GiullianaLoza Tampoco cree en fiscales que corrompen la ley y hacen abuso del derecho. Ya empezò la… https://t.co/WNZeLCaI75
87,"RT @reyreysincorona: Ya era hora!! Hay prueba pública de delitos!! Así terminan tarde o temprano los que se hacen considerar, para benefici…"
88,Organización criminal infiltrada en la PUCP para lavar Activos. Denuncia debe alcanzar a docentes a los que se les… https://t.co/ZMSDfdNOPe
89,"RT @ANDRESAR16: KEIKO FUJIMORI DEBE SALIR LIBRE MAÑANA.

NO EXISTE NINGUN ELEMENTO QUE PRUEBE NADA.
HAN PASADO MAS DE 30 DIAS Y NADA DE NAD…"
90,El Congreso aún puede optar por el Sistema bicameral tal cual se planteó en el referéndum. Solo basta una nueva vot… https://t.co/844OaE7n1c
91,RT @vasquezkunze: Vizcarra deja al Perú con más anemia. Cierre de años 2015 (43.5%); 2016 (43.6%);  2017 (43.6%);  2018 (44.7%) Fuente: INE…
92,RT @alvarosarco: La presunción de inocencia es una garantía consagrada en la Declaración Universal de los Derechos Humanos. La culpabilidad…
93,RT @colomahector: @Wolfdruida @YeniVilcatoma2 @MartinVizcarraC @elcomercio_peru Todos los que tienen dignidad y  exigen respeto a un debido…
94,"@Hernan2399 @fco_x_d @socioperiodismo Usa tu cerebro, troll. El que legisló sobre los casinos fue el Ejecutivo a ra… https://t.co/CRxENSzvGW"
95,RT @IuliusAlfonsus: @Wolfdruida @GiullianaLoza @KeikoFujimori Es claro q los únicos q quieren dilatar el asunto son los del MP en desmedro…
96,@gvillasis Supongo que lo protege las mismas autoridades corruptas que protegen a Susana Villarán quien hace meses… https://t.co/PLT0GeXFmN
97,RT @IuliusAlfonsus: Quisiera saber qué va a pasar cuando mañana la Dra. @GiullianaLoza vaya a defender a su patrocinada @KeikoFujimori y el…
98,@IuliusAlfonsus @GiullianaLoza @KeikoFujimori Jose Perez dice que la defensa de Keiko obstruye el proceso usando ma… https://t.co/UVHBxTKeVU
99,"RT @mariomantilla7: No cabe duda que Pérez es auténtico operador político: si incorpora a Abog Loza por obstrucción, debe investigarse en o…"
100,"RT @alvarosarco: La concha del día. Raúl Diez Canseco, el viejo verde que le quitó la novia a su propio hijo y que con un DS saneó las deud…"
101,@veroca327 @socioperiodismo No puedes elaborar algo sobre un supuesto. Los proyectos presentados a la ciudadanìa te… https://t.co/hVTsSian3d
102,"@veroca327 @socioperiodismo ¿Carecen de sentido?¿No recuerda las palabras de PPK que expresaba que necesitaba ""jala… https://t.co/HUbBsPYq4g"
103,"@aidaluzmendoza Todo anda patas arriba en el Ejecutivo, con una Ministra de Cultura que se vio obligada a renunciar… https://t.co/6QzIIpR8ga"
104,"RT @IuliusAlfonsus: Eres abogado de terroristas?: Sí...
Eres abogado de narcos?: Sí...
Eres abogado de violadores?: Sí...
Eres abogado de a…"
105,"@gustavoruizo @YeniVilcatoma2 @MartinVizcarraC @elcomercio_peru Con 46 denuncias más el negociazo de Chinchero, es… https://t.co/B2ZE2dZOTM"
106,"@socioperiodismo @veroca327 No trabajo en el Congreso y no me pagan por defenderlo. Ah, tampoco me molesta que me p… https://t.co/wlFtse9jFu"
107,@veroca327 @socioperiodismo Eso lamentablemente es lo que te informa la prensa. Una cosa es el último pleno de la l… https://t.co/DFDIEEaccT
108,@SIGFREDOAQP @socioperiodismo @jfowks Galarreta y Alcorta no eran fujimoristas. Pertenecìan al PPC. Lo dicho por Re… https://t.co/sys2nlT8IG
109,@socioperiodismo @Paco_Cerro84 @IuliusAlfonsus @PipoHUERTA Lamentablemente tienes toda una corte de trolls.
110,@fco_x_d @socioperiodismo No existía legislación para los taxis de aplicación. Ahora la tienen. Los colectivos info… https://t.co/QGhUxNTgvP
111,"@veroca327 @socioperiodismo A pesar de que aún no se ha proclamado los resultados del referéndum, el Presidente del… https://t.co/oEa1N0EOnd"
112,RT @IuliusAlfonsus: @Wolfdruida @PipoHUERTA @socioperiodismo Todos estos ignorantes siguen empujando para destruir al primer poder del esta…
113,"@socioperiodismo @veroca327 Tú eres periodista, pero tienes una fijación patológica en el Congreso. En lugar de ser… https://t.co/j2WzRmv1nB"
