,Tweets
49,"RT @NickyMarquez1: En Chile, con el máximo lider de la derecha trasandina @joseantoniokast y @AgustinLaje. https://t.co/NHGGQb4Hel"
50,"RT @Manifiesto_pe: Phillip Butters recuerda que fiscal José Domingo Pérez, cuando trabajaba en la región Moquegua, acusó a dos personas y l…"
51,"RT @reyreysincorona: Tres preguntas Jose:
1) a ti como abogado qué te parece q, en las investigaciones, Pérez haya comprendido a la abogada…"
52,"@Plinio2009 Asco de presidente del congreso, comodín 🤮"
53,RT @Plinio2009: Los asesores de Martín Vizcarra cumplen escrupulosamente La Técnica del golpe de Estado de Curzio Malaparte: Demoler a la o…
54,RT @DecanaCALPortoc: No se debe limitar ni  confundir el legítimo  el ejercicio de la profesión al hacerlo se  contravienen  normas   const…
55,RT @romancendoya: Ayer #PabloIglesias en el Senado fue tan falso como todo en él. Su mecanismo político es la empatía y ayer —antes que def…
56,RT @AgustinLaje: ¿Se imaginan esta declaración en boca de un actor hombre? El feminismo no es igualdad; es hipocresía. https://t.co/O9YMo36…
57,RT @reyreysincorona: Como supuse! El Comercio NO publicó hoy NADA sobre el tremendo y delictivo escándalo económico en la exPUCP! Ni una lí…
58,"RT @azabacheCaC: Decisiones como la del Fiscal Pérez, que investiga a una abogada de la defensa, producen desconcierto.  Se me ha preguntad…"
59,"RT @PedroChavarryV: Ante importante información recibida de cobros irregulares a alumnos de la @pucp, que incluso fueron admitidos por su e…"
60,RT @Vponce64: ¿La ex KGB controla un sector del @FiscaliaPeru? Fiscal Pérez -que pretende protección de la @CIDH - incluye a @GiullianaLoza…
61,"RT @ellimitedelbien: Emotiva reacción de este burro al ver a la niña que lo crió desde que era pequeño.
Uno de los animales más maltratados…"
62,"RT @reyreysincorona: La cultura progre, caviar d origen neocomunista ha impuesto la cultura invertida de los ddhh: terroristas, asaltantes,…"
63,"RT @AgustinLaje: Diputadas de pañuelito verde, feministas y aborteras, como @vikidonda , votaron contra un proyecto de ley de prisión efect…"
64,"RT @PadreLGaspar: Visitando pastoralmente cerros San Pedro, El Pino y San Cosme ¿Cómo se sostiene una familia con menos de S/328 al mes? Tr…"
65,"RT @GirautaOficial: Oiga, majadero, vuelva a España, entréguese en la primera comisaría y no maree.  https://t.co/WRfKK8WlXO"
66,RT @CMHNTM: Irlanda | Las desviaciones y fantasías provocadas por la Ideología de Género llevaron a una mujer a divorciarse de un fantasma…
67,RT @JBCPERU: ¿Ya se sabe quién es el fiscal a cargo de investigar esta presunta organización criminal? https://t.co/ZUe5tQQ22f
68,RT @Santi_ABASCAL: Y esta nos llama machistas.... ¡que mire primero en su casa! 😂 https://t.co/LIBnMCOL4I
69,@franpetrozzi @MartinVizcarraC @presidenciaperu https://t.co/tyzJe5js95
70,"RT @GustavoOrozcoH: Colombia le cobrará 
”800 MIL” MILLONES DE PESOS y le prohíbe contratos x 10  AÑOS  a ODEBRECHT!

En Perú, 2 traidores…"
71,RT @romancendoya: Mi columna interpretando el referéndum en su verdadera dimensión. El problema es que hemos vuelto a la incapacidad de ges…
72,RT @AgustinLaje: @FerRadio @edufeiok ¿Cuál es la mentira? Cada vez son más los jardines que aplican estos “ejercicios”. En Rosario por ejem…
73,"RT @meiermq: ¿Será cierto que cierta ong, tiene a algunos jueces agarrados del cogote porque saben que fueron ""pioneritos"", subproductos od…"
74,RT @romancendoya: Mi columna interpretando el referéndum en su verdadera dimensión. El problema es que hemos vuelto a la incapacidad de ges…
75,"RT @PadreLGaspar: Vicepresidente Pence: «Ya no dependeremos más de la ONU para ayudar a los cristianos y minorías perseguidas». 
https://t.…"
76,"RT @carloslinaresh: Denuncian penalmente a Marcial Rubio, exrector de la @pucp, y el resto de su administración por presunto lavado de acti…"
77,"RT @Politico_pe: Denuncia penal contra Marcial Rubio, Pepi Patrón y la cúpula en pleno de la PUCP. Al parecer, una organización criminal ha…"
78,"RT @azabacheCaC: Todo mi respaldo al Ministerio Público como organización, pero ¿Investigar a los abogados de la defensa? ¿El mismo fiscal…"
79,"RT @Atavus13: El género, la raza y la especie son un azar del nacimiento natural. Pero los derechos los tenemos todos, con independencia de…"
80,RT @reyreysincorona: Muy buena la pregunta (y la explicación) que le hace Ricardo Vásquez Kunze a la hoy tristemente célebre Pepi Patrón de…
81,"@JoseUgazSM Claro pues, con Vela y Pérez tienen títeres asegurados"
82,RT @meiermq: El señor Salaverry como congresista tiene un solo voto...así que mejor no se comprometa a lo que quizá pudiera no ocurrir.🤨 ht…
83,RT @Patricia_Neyra: Ya apareció nuestro Bolsonaro??? Realmente esto está cada vez peor. Necesitamos alguien con pantalones y que no tenga m…
84,"RT @romancendoya: A #JoseDomingoPérez — presunto fiscal— le delata su lenguaje corporal. Resulta histriónico, con megalomanía narcisista. N…"
85,"RT @IuliusAlfonsus: Estimado Dr. @PedroChavarryV como Ud., lo ha notado cientos de miles de peruanos nos hemos solidarizado con su causa. C…"
86,"RT @CeciliaCM23: Y tú cómo te llamas? 
Felix moreno
Ok, vaya libre 
Y tú cómo te llamas?
Susana Villarán
Ok, vaya libre
Y tú cómo te llamas…"
87,"RT @elvisocc: #FiscalPerez se volvió loco, eso o sus jefes de IDL. Aquí está “un rapidín” al respecto. Mírenlo y retuiteenlo para que llegu…"
88,RT @JBCPERU: El #fiscalPérez está cruzando todo límite tolerable. Esto ya da asco. https://t.co/Mbz7D5AdWx
89,"RT @elhigadodmarita: Entre ustedes se untan betùn, se pasan la franela y se sacan brillo.Son patéticos. Lo único que parecen hacer es trafi…"
90,"RT @xafu: Han pasado casi 5 meses desde que @PedroChavarryV asumió como Fiscal de la Nación. Luego de darle todo el apoyo, veo con decepció…"
91,RT @romancendoya: Sorprende el silencio de los grandes despachos de abogados del #Perú respecto a la violación del derecho de defensa de Ke…
92,RT @clanseros: @jcortecho @RPPNoticias Lo que se quiere evitar es que un trabajador despedido y liquidado (que ya cobró su liquidación) lue…
93,"RT @meiermq: Sr .@WGutierrezPE, confiamos en que la .@Defensoria_Peru sabrá salvaguardar las garantías del debido proceso de este ya bastan…"
94,@PedroChavarryV las acciones de Domingo Pérez son contrarias a los principios del derecho. No es posible q ese sr h… https://t.co/LWbLCEJGeF
95,"RT @MadeleineOster3: Muy bien Jaime 👏👏👏, siempre es bueno recordar el pasado de aquellos que son incapaces de hacerlo por ellos mismos, por…"
96,"La persecución en este caso es + q evidente. Todos los peruanos, + allá d las posiciones políticas, tenemos derecho… https://t.co/8NKPwWPLpZ"
97,@ppmarino 🤗
98,"@ppmarino Un fuerte abrazo Pepe y siempre, lo mejor para ti"
