,Tweets
47,"Es una vergüenza que no invitará al FN esta mañana a la reunión, y todavía tiene la osadía de decir q en el Perú se… https://t.co/tUDHvWIFDg"
48,"@Patricia_Neyra Que lastima mi estimada de la justicia ya no esperamos nada, ahora sino tienes padrinos hasta la jubilación te la roban"
49,"RT @leonicogabriel: "" DE AHORA EN ADELANTE, NO MAS HERMANITOS"" ¿ PERO , ACASO, LOS ""HERMANITOS""  HAN TENIDO QUE VER CON LA  GICA, TERA, GRA…"
50,"@Patricia_Neyra Mi estimada si hay una hija soltera ella cobra la indemnización, inclusive si tiene un problema de… https://t.co/R1vRN2V9E1"
51,@NiUnaMenosPeru haremos marcha para defender a #ArletteContreras de estos miserables y patanes hombres?… https://t.co/Fss47ljPXy
52,"Que desgracia la miseria humana de este país, y para atropellar más a las MUJERES archivan el caso de… https://t.co/1GK7dXrWYH"
53,"Cuanta miseria humana hay en este país, que en estos días se lucha por la igualdad de género,burla,irá, resentimien… https://t.co/BI1dNvPfoT"
54,"Porquería de machona, por q no creo q sea mujer esta bicha👇 https://t.co/WYkF7zpxWZ"
55,"Vergüenza nacional de la justicia peruana, continúa la persecución política, #VizcarraQuierePresaAKeiko #GuilianaLoza"
56,@NiUnaMenosPeru @PoliciaPeru Absolvieron el caso y ahora q sigue? Seguirán los atropellos a la mujer? Vergüenza de… https://t.co/g3MBKiluTQ
57,"@JuanSheput Lo q tiene es pavor, a q lo encierren, lamentablemente en el país de las maravillas ya no se puede conf… https://t.co/ZcvarRuysG"
58,@rojotrolls @MEMEOPERU Tal cual #VizcarraDictador
59,"@VeroLinaresC @CentenoRenata Con un rumbo hacia la eternidad!!!
#VizcarraDictador se jodio Maduro se quedará sin ve… https://t.co/QyISrF7AZB"
60,"RT @alvarosarco: Al ser un Presidente precario y accidental, @MartinVizcarraC debió consultar a la población si estaba de acuerdo o no con…"
61,"@ClaraEOspinaG No problem, ahora van a mamar del ESTADO😂"
62,"No problem, ahora van a mamar del ESTADO😂"
63,RT @alevssio: @ClaraEOspinaG entonces dile a tu jefe VISCARRA q haga una conferencia y expliq de donde salieron los 6 millones de campaña q…
64,"RT @agildemeisterrh: @alfonsobaella ""Notables honestos""??? Quiero verlos! Puestos por Odebrecht o por el gobierno de acuerdo a su gusto y a…"
65,"@Rosario_Sasieta @MilagrosLeivaG @atvpe Por esas épocas nadie, absolutamente nadie se pronunciaba, hoy buscan cualq… https://t.co/jCuuSSptfX"
66,"@agildemeisterrh Idéntico a Chávez, quienes tuvimos la oportunidad de ver a Chávez #VizcarraDictador me lo recuerda… https://t.co/YkkHqeQL39"
67,@KikeBravoPrado Very true😂
68,@alfonsobaella 😂😂😂😂😂😂😂 sueños!!!!
69,@JulianaOxenford @RichardMontoyaR Very true!!!
70,"@elhigadodmarita Más imbéciles son los peruanos q votaron una vez más como borregos; siendo ciegos, sordos y mudos
#VizcarraDictador"
71,"@VertizPamela @MartinVizcarraC El trabajo es ahora del Ejecutivo, frente a un país en cuidados intensivos, tirándos… https://t.co/irDO1qdUaN"
72,"@VeroLinaresC Muy cierto, será un Hitler, o un hawevoneado como PPK?😂😂😂😂"
73,"@atvpe Existe la ministra de la mujer? Alguien puede decirme q hace la primera Dama de la nación, desde q esta Vizc… https://t.co/f1w5LsP403"
74,@PuntoDe95759204 @RPPNoticias Se adelantó al día😂😂😂😂😂
75,"@_gonzalez_jordi Me preguntas por el de la foto? NO, nada q ver con la política, somos sanos y sagrados, es mi hijo putativo😂"
76,"@_gonzalez_jordi Es lo q hay para el Perú, quien los elige? Acaban de elegir a un gobernador violador en Arequipa y… https://t.co/grf3EGzxSx"
77,"@AuchnowDaniel @MartinVizcarraC Sin lugar a dudas, estamos a la espera de @jairbolsonaro se hará sentir cuando suba… https://t.co/BQTfLLJYyG"
78,"@_gonzalez_jordi Buen día George😘 toma un Ron🍶 zacapa y olvídate de esa mierdada, o serás una víctima más de esa vi… https://t.co/kJ02DsOWap"
79,"@RPPNoticias Maten a todos los corruptos, violadores y maltratadores de mujeres y niños, el Perú esta entres las tr… https://t.co/fWoX0X4OIY"
80,RT @TuitReportes: 🔵 Las ciudades donde más se presenta acoso sexual a niñas y mujeres jóvenes #Informe https://t.co/4Q7TEq9kFM
81,@Perudefensavida @Carolin50449842 @conf_episcopal Y Barreto esta mudo!!!!
82,RT @RealJamesWoods: “Trump has spotlighted long-unaddressed problems. NATO countries have under­funded...the alliance. China has been cheat…
83,"Si las de la China q deja en ridículos a todas las demás, las de Odebrecht sólo contratan con gobiernos corruptos!!!"
84,@DuchoDepe @ExpresoPeru Las q le pagan a los partidos políticos😂😂😂😂😂😂 ósea la 2¡¡¡¡
85,@ExpresoPeru Juas Juas Juas😂😂😂😂
86,RT @leonicogabriel: @ExpresoPeru EMPEZANDO POR TODOS LOS PERSONAJES QUE APARECEN EN LAS AGENDAS DE NADINE HEREDIA.
87,@AmyM1angelmouth Very true!!!
88,@rosalvinafonsec @lacucuchiperu @jrivasb15 @MilagrosLeivaG Very true!!! And win the truth
89,RT @PescandoCaviar: El dictadorzuelo ha divido a peruanos en notables y no notables @PedroChavarryV Entre buenos corruptos @ppkamigo y malo…
90,"@SofiaGallegosP @RPPNoticias Esto no es novedad, despiden cuando les estorban, hay mucha argolla en este medio!!!"
91,"@yonhy_lescano Cuando seas presidente lo arreglaras, por ahora acepta lo q te impondrán😂😂😂😂😂"
92,"RT @eusebeias: Y PORQUE ESTA CONGRESISTA NO
HABLO ANTES? QUE? HACE 6 MESES,
PALOMA NOCEDA, NO SE SENTÍA TAN 
“COSIFICADA”?  QUE PASÓ, ENTON…"
93,"@KikeBravoPrado @PalomaNoceda Esta en todo su derecho, nadie puede acusar sin pruebas, lo dice la Constitución pres… https://t.co/Ia0eXFlFIM"
94,"RT @gildatrkovic: @Politica_ECpe ¿Por qué no ven con ""celeridad"" DASAFUERO de FORONDA? infiltró una TERRORISTA al Congreso durante dos años…"
95,"@lether007 @QuintoPoderPe @elvisocc Abugattas
Chehade
Los duros del fujimorismo
Urresti
Humala y Nadine si no van p… https://t.co/7sFMtkUUAX"
96,"@perlaberrios @FernandoArmasCa Para el sector público, privados tendrán q llegar a un acuerdo😂😂😂😂😂"
97,"Porq ya es casi fin de año de los alcaldes, acaban su gestión y dejan a todo el personal sin pagos, el q ingresa se… https://t.co/QsjuTDCafU"
98,RT @MarthaChavezC: El colmo de lo patético. Le encargaron A DEDO una determinada Fiscalía y determinados casos y no quiere que también a de…
99,"RT @imejiapalomimo: @Politica_ECpe @MilagrosLeivaG La Comisión de Ética se convirtió en La Inquisición, Circo Romano!??, que pasa si yo acu…"
100,@AleAramayoGaona @congresoperu @BankadaFP Congresista tenga la seguridad q tratándose de los fujimoristas los indig… https://t.co/SJ0Ca3Z9u1
101,RT @Almagro_OEA2015: Inaceptable la decisión de la Asamblea Nacional de #Nicaragua de anular la personería jurídica de organizaciones defen…
102,"@Rosario_Sasieta Los medios de comunicación deberían hacer escuelas taller en algún espacio televisivo, la prensa e… https://t.co/T757hlbbYG"
103,"@Rosario_Sasieta Que hacemos con las mujeres de la Sierra y la selva, q no se dejan ayudar; esas q son violentadas… https://t.co/h1VhxxN0Nx"
104,"@NicolasMaduro Cuál paz señor, Ud está cada día más loco!!!"
105,"@MecheAF @PalomaNoceda Esto huele a venganza, primero no denuncia, segundo denuncia a medias y tercero, cuando le h… https://t.co/643dRFU9wM"
106,"RT @lordrfadgrmm: ¿Porqué no se denunció en su momento? No se refugie en el silencio como justificación. A propósito, ud. habla de forma ca…"
107,@Roxanaderojas @VeroLinaresC Plop😂😂😂😂
108,@oscarchu19531 @VeroLinaresC Frases de los encantadores #HumalaHeredia y todavía no se van a la cana!!!!
109,@FernanditoRT @VeroLinaresC Entonces seguro son elegidos por el espíritu Santo!!!! Hay q reconocer q el pueblo se equivocó al elegirlos....
110,@edu2fer @VeroLinaresC Very true😓
111,"@VeroLinaresC Todo el Estado, no sólo el congreso, hasta los medios de comunicación que no enseñan cultura, sólo no… https://t.co/Z942a3xuPr"
112,"@luisfermh90 @mabel_huertas No hay necesidad de palabras groseras para defender tu posición, es verdad su denuncia… https://t.co/hSZvFMza3b"
113,Price please... https://t.co/vLJuERdTW9
114,@Frospigliosi @AUGUSTO86321713 @Gestionpe Futuro para el Perú https://t.co/iN1GWg3XWy
115,RT @Frospigliosi: Récord de ausentismo: 5.4 millones no votaron @Gestionpe https://t.co/fM3hGUlVeT
116,"@noticias24 Cosa de locos, arrestar por decir la verdad😂😂😂😂"
117,"@ffelipa63 Cerrarán la primera Universidad en el mundo, q tal ESTAFA!!!"
118,@HaralDJavier @YarlequeE @elhigadodmarita Futuro para el Perú? Peor q Venezuela!!!! https://t.co/CqUsljynOH
119,@Capital967 @ADiezGol Arriba Alianza Lima💙💙💙💙💙💙
120,RT @ornekhaos182: Ya despertaron o siguen cogiendo?
121,"@Carlosgam81 @elcomercio_peru Fue cortina de humo y si tienes pruebas denuncia, no te quedes callado, pero la DEA d… https://t.co/07YlORxBpQ"
122,@elcomercio_peru Esperamos q pueda pasar la Navidad con sus hijas!!!!
123,"@Jcvasquez81 @GatoRandiano Hoy están en modo sensibles, me viene a la mente cuando #SusyDiaz era congresista todos… https://t.co/fZuyQg7xqo"
124,@martinbelaundem Ya debe estar alistando campaña para congresista😂😂😂😂 https://t.co/hH2TK13TFD
125,@_gonzalez_jordi Good morning sweetie😘
126,"@martinbelaundem En el Twitter no se permite buena ortografía, hay poco espacio para redactar todo lo q uno quisier… https://t.co/KM6na1i53K"
127,"@cevalenzuelav Llamar troll a Karla Calle, pienso q es un exceso, una mujer conocida en medio Perú, como lo es Ud t… https://t.co/OVAwQO0tER"
128,@CostaGino Ja ja ja cierren el congreso!!!!
129,RT @alphone50: #BREVES: Premier Villanueva pide continuidad de fiscales Vela y Pérez. ¿Está violando la independencia de poderes?  https://…
130,"@AlbertPonce20 @mardewe @yamilaosorio Yamila es la mujer de Cáceres como no iba apoyar a los violadores, si es de la misma calaña!!!!"
131,"@PanamericanaTV @Maroma2 Ja ja ja @VictorAndresGB Pepe el vivo, parece q no sabe hacer otra cosa q jubilarse de con… https://t.co/TZRbY7nSn2"
132,@JovenesKeiko Desde comienzo de año ya se les da su dote a los partidos políticos😂😂😂😂😂
133,"@tumazinger @JovenesKeiko Mala leche, esto ya se hizo efectivo a comienzo de año, cuanta ignorancia del pueblo q se… https://t.co/5IRgcrOivK"
134,"@KarinaNovoaL Salvo algunos locutores, porq no son periodistas, tardaron mucho en informar q esta reforma era un ma… https://t.co/FXnxKWAgmP"
135,"@martinbelaundem Salvo decida quedarse en el poder como maduro, hecha la ley, hecha la trampa, si a podido manipula… https://t.co/TYnZnZuWrr"
136,@yoni3556_luis @LuisEspinozaCa2 Arriba Alianza💙💙💙💙💙
137,@larepublica_pe Yo también le hubiera roto el hocico ha ese malnacidos presidente de mesa!!!!
138,"@larepublica_pe Muy bien, yo también lo hubiera hecho, como miembro de mesa debió respetar, así fuera keiko!!!… https://t.co/s2vJEFbzlK"
139,"@JuanSheput El referéndum ha estado lleno de agresión, a Alan le mentaron la madre y en Miami también se agarraron… https://t.co/KJBevLy4YL"
140,"@MauricioSolisD @JoseNoriega1969 La barra brava del Fujimori, a calentar motores!!! Lo bueno a todo esto será q los… https://t.co/6KD4CB0X9V"
141,"RT @rogerbrymer: Agregando Carmen de Losada, Rolando de Souza, etc https://t.co/vXEmUddXCQ"
142,@Manifiesto_pe La jefa de las agendas le habrá dictado este msj? o será veronika mendoza la q lo escribio ya llega… https://t.co/lsPZX9JRC0
143,"@socioperiodismo En el extranjero también se vota, así q también hubiera ido a votar, aunque para mi más barato me… https://t.co/zPoe9bnRg8"
144,"@glomuri64 @gabrielitaaa10 @MartinVizcarraC Esta cantado q fue FRAUDE, y lo supe desde el 28 de julio cuando pidió… https://t.co/pGDeM1mBXU"
145,RT @Provifa_Peru: #VizcarraElCircoSeAcabo! Para cuándo la reconstrucción del norte? cuando reducirás la inseguridad? Cuando va a mejorar la…
146,"RT @glomuri64: Estaba visto que iba a ganar la propuesta de @MartinVizcarraC , pero me sorprende el porcentaje. ¿Tanta puede ser la ignoran…"
147,RT @TJCmagno: Cada día mas idiota este tipo. Bajemos al nivel de Mermelumendi y preguntemos similar ¿Qué mermelada es más intensa? ¿La de C…
148,"@peruenlanoticia @LuzSalgado_R , no justifica acoso a Paloma, si te acosan di nombre y apellido, a medias tinta no… https://t.co/5grV2CLzG2"
149,"@EddyMartin1976 @ZENAIDASOLISG Nadie señor, menos los corruptos y mucho menos Vizcarra https://t.co/dJ6xUYPF1r"
150,RT @AlbertoCarto: @ZENAIDASOLISG @FernandoArmasCa No me hagas reir. Esto fue una estafa. Fraude total.
151,"RT @F_Ghilardi: @ZENAIDASOLISG @ContikiPeru13 Muy bien, todo queremos 0 corrupción y estos congresistas improvisados que llegaron se regres…"
152,"@ZENAIDASOLISG Lo bueno q se va mucha plaga ratin aunque sólo se hable de FP y del APRA, los caviares no quieren re… https://t.co/VBjHfBeOqu"
153,"@canalN_ Incluido los violadores sexuales, asquerosos gobernadores!!!!!"
154,"No debieron continuar, es FRAUDE a todas luces #VizcarraCorrupto Jóvenes ingenieros de sistemas descubren posible f… https://t.co/24jc1D8Kb6"
155,@noticiAmerica Que novedad?
