,Tweets
51,@imejiapalomimo @00private @ClaraEOspinaG @PalomaNoceda @canalN_ A ese Troll maldito la vida le pasará la factura .… https://t.co/OsRZi5AuTP
52,@litmanndreamers @hurgamemoriaPE @AlanGarciaPeru 😉😉😉
53,@Manifiesto_pe @pucp Un ladrón que además ganaba 80mil soles mensuales ... se larga bien forrado.
54,@rayfull6 Ese tipo da vergüenza ajena.
55,@litmanndreamers @hurgamemoriaPE @AlanGarciaPeru 🤔 Que tal si se ponen a su altura y debaten con él.
56,"@ANDRESAR16 @AlvGutierrezCue Como no iban a ser, además de mal hechas, fraudulentas ¡S estaba Odebrecht de por medi… https://t.co/0gONhaHpzF"
57,@elscorpione1950 @JuanApazacayo @MartinVizcarraC @DeltaMdelta #OdebrechtGanoElReferendum
58,@jtolorteguin @AlbertoBelaunde @IDL_R 😂😂😂 https://t.co/CBz9zpS60x
59,@MolinariJulia @AlbertoBelaunde @IDL_R 😂😂😂 iba a decir lo mismo Entre caviarazos se premian. El día que reciban rec… https://t.co/E4io2i1Qif
60,@luchootoya #OdebrechtGanoElReferendum  El gobierno mafioso coludido hasta la médula
61,@leo_valra @ugluis @reyreysincorona ¿Q lo agarro a cachetadas? Estos caviares si k aman la mentira navegando en ell… https://t.co/KMu3oJuCM9
62,@Politico_pe Las pugnas por el poder. Ahora que se juran todopoderosos y arrancan los proyectos millonarios e inser… https://t.co/12TPrl0hbi
63,@IuliusAlfonsus @Caro60 @KarlaCalle @AlanGarciaPeru @SolCn Máximas que sigue al pie de la letra nuestro presidente… https://t.co/fimJLrOyYR
64,@TRICICLODELPERU Con la plata baila Sol 😂😂😂
65,@vince_bryce @VertizPamela Más claro que el agua pura.
66,@KarlaCalle @AlanGarciaPeru @SolCn ¡Pero si así son los caviares y progres! O alguna vez han visto a alguno leal y… https://t.co/40tGCffmub
67,@Gatitadelsur @canalN_ Un cobarde
68,"O sea, o sea ... no pasa nada todo está bien, se puede votar, no cambia nada tu voto está seguro ... @PanoramaPTV… https://t.co/gWV8Tl0dpJ"
69,"Invaden, socavan, destruyen. Si fuer a la inversa se aplaudiría... Pero NO ES ASÍ https://t.co/HcuI1GxEfw"
70,@veritatisperu Así es #GanoChavez ... el Perú sigue en franca decadencia camino a #Peruzuela y a la impunidad.
71,@JoseMartSN @MartinVizcarraC Con toda la maquinaria gubernamental la @ONPE_oficial El @JNE_Peru la prensa corrupta… https://t.co/mwEHG28OzH
72,@realpolitikp El cinismo y cobardía de esa gente no tiene límites...  Dirán que la culpa es de Keiko. Dan asco
73,Solo el paupérrimo nivel que tiene Vizcarra podría justificar su creencia que el argentino tiene algo de valor 🤢 https://t.co/RAhrJcMpxC
74,Un día como  hoy hace 32 años...  y  no nos cansaremos de repetir #TerrorismoNuncaMas https://t.co/geWp3qkGUT
75,@CarlosB17447235 @tamaritaKLOG @MartinVizcarraC Bien merecido lo tendrá
76,@eduardoenred @PabloUrri @JVillaStein @romancendoya @Dantuzum Mayoría Sr ?... no me haga reír.
77,@PabloUrri @eduardoenred @JVillaStein @romancendoya @Dantuzum Sarna con gusto no pica mi querido Pablo. Toda esta s… https://t.co/gMS3JrZ9Rq
78,@raphaelrey @castalva123 @MilagrosLeivaG Jajajajaj me parece estar escuchando a Belaunde y ya sabemos a donde nos l… https://t.co/i0fUANvH5y
79,@MilagrosLeivaG Simple ...La consolidación de “Peruzuela“.  Ganar esa apuesta era re fácil. TODA la maquinaria esta… https://t.co/6AgPtXOCsu
80,@LuzSalgado_R https://t.co/qKtDq6hgFW
81,@ugluis Absolutamente frustrante ... Para autodestructivos (me gustaría decir otros adjetivos) no hay quien nos gan… https://t.co/vHmWrTeCs1
82,@gildatrkovic @Xileone @MartinVizcarraC @JNE_Peru @ONPE_oficial #VizcarraDictador  #4vecesNO
