,Tweets
73,"RT @mili_Brujita: Una linda reunión, una excelente persona sencilla y aguerrida la congresista @rosamariabartra  😘 EL FUJIMORISMO SIEMPRE S…"
74,RT @elvisocc: #MULDER dice una cosa muy cierta: OLIVERA fue el intermediario de Toledo para la consecución de la Interoceanica con #Odebrec…
75,@Patty_Barrantes Gracias querida Patty 😍😘😘😘
76,Vesta!!! Hablo la maestra de ceremonia de #Odebrecht https://t.co/zk2DANVnw9
77,RT @giberita: No era así como debía quedar. Tenía q ganar #AlianzaLima. Pero huevos para ir perdiendo y empatar. Gracias muchachos 💙💙💙👏🏼👏🏼…
78,RT @KeikoFujimori: Sigamos con fe en el camino de la unidad porque son los momentos más difíciles los que más fortalecen a una familia. No…
79,"RT @KeikoFujimori: En medio de estas circunstancias tan difíciles llegan hasta mi celda las voces de gente que, como hoy, viene cada fin de…"
80,RT @KeikoFujimori: p. KF: Llevo ya más de un mes en prisión a la espera de que la justicia prevalezca en las instancias superiores. Esto es…
81,"RT @_gonzalez_jordi: AMENAZA VELADA???
DISCRETA?? SUTIL???
LO CIERTO... USTED DICE NO HAY INTOCABLES, PERO POR SU ACCIONAR.. DEJA UN TUFILL…"
82,@norva001 Y quien chu te pidió tu opinión? Metete dónde te llamen ok!!
83,@_gonzalez_jordi 😘😘😘😘
84,@_gonzalez_jordi Igualmente para ti amigazazo 😘😘😘
85,"RT @SILVYTA27: Referéndum viciado!! Personal de ONPE al servicio del Ejecutivo, haciendo proselitismo, instando a la poblacion a votar como…"
86,"@Xileone Mentiras y más mentiras, pero viniendo de la “Repútica” nada bueno podemos esperar..."
87,RT @Xileone: Esta farsa fiscal pasará a la historia como el caso más grotesco de manipulación de la justicia para perseguir a un partido po…
88,@nidia19861 😘😘😘🤗
89,RT @dil_dilber: @mili_Brujita Somos Fujimoristas: tenemos una vocación y  mística de servir a nuestra Nación y un sueño de verlo a nuestro…
90,"Me está pasando eso tbm, x el solo hecho de haber publicado una foto con la congresista Rosa Bartra, no se q tanto… https://t.co/T9HiHvbnat"
91,@telly1412012 @rosamariabartra Para lo q me importa tu opinión enferma del odio
92,"@JMNH74 Buenos días, concuerdo contigo"
93,@JMNH74 Estás viendo canal 2
94,@frank_1483 @rosamariabartra Siiiiiii
95,@megarcias @rosamariabartra Nadie te pidió tu opinión así q te lo ahorras...
96,@PedroMarbell @rosamariabartra Él fujimorismo siempre supo resurgir de las ceniza y así lo haremos y más fuerte q nunca...
97,@BrianoInes @reramirezsa @rosamariabartra Más pena das tu y no te das cuenta 🤣😂
98,@reramirezsa @rosamariabartra Y a mi q chu
99,@fernandoruben29 @rosamariabartra Gracias 🤗
100,@Rom_mel2 @rosamariabartra Así es!!!
101,@CH_MACHA @rosamariabartra Ptm imbécil anda busca el significado de “Troll” IMBÉCIL!!!
102,@laconchacaviar @rosamariabartra Okiz
103,@JoseLuisCordov6 @rosamariabartra Como siempre...
104,@laconchacaviar @rosamariabartra Para la próxima... DM
105,@epaulloalf1 @rosamariabartra Yo me río de los imbéciles con pocos seguidores... Kgones!!
106,@epaulloalf1 @rosamariabartra May
107,@CH_MACHA @rosamariabartra Calla mierda....
108,"Una linda reunión, una excelente persona sencilla y aguerrida la congresista @rosamariabartra  😘 EL FUJIMORISMO SIE… https://t.co/Kd8I5optP9"
109,@ESisifo @rosamariabartra Así tiene q ser...
110,Reunión del partido FUERZA POPULAR junto a la gran @rosamariabartra siempre es un placer escucharla.... El FUJIMORI… https://t.co/Ge2wf212ID
111,Vamos con todo siempre firme 💪🏼💪🏼💪🏼 https://t.co/kD9GMOWwZo
112,RT @giberita: Ahora si!!! Se cumplió tu sueño fariseo. Si Vizcarra le entrega el fajín de cultura a petrozzi sabremos todos xq se reveló y…
113,RT @mlukacs: ¿Asi o mas claro? Garcia-$ayan y Gorriti son los esclavos top de Soros en Peru. Tambien lo fueron de ODB pero este par tiene a…
114,Gracias amigazo... 😘😘 https://t.co/v3EW5iNtUf
115,@sullama @MartinVizcarraC Q regiaaaaa!! 😍😘
116,"RT @amerinoreyna: Hay quienes quieren destruir a Fuerza Popular, el ataque a @UrsulaLetonaP es una muestra más de ello. Hoy debemos estar m…"
117,"RT @MarthaChavezC: ""Gracias"" entonces por contratar y tener como imagen de su radio a un ""inigualable"" maltratador de mujeres y maltratador…"
118,"HIPÓCRITAS!!! Xq carajos siguen teniendo a @galdosoficial después de lo q dijo, unas disculpas no basta... https://t.co/mCea0ySc1j"
119,"RT @victori39804465: EL 9 DE DICIEMBRE TODOS CONTRA EL COMUNISMO! 
CONTRA EL TERRORISMO! MARQUEN TODO NO! NO@ NO! NO! #4VecesNO #4VecesNO h…"
120,Bien ahí Pipo... 👇🏼 https://t.co/O51oQqNVcp
121,Literal... https://t.co/EMjEU7rON2
122,RT @gildatrkovic: #4VecesNO #VizcarraDictador https://t.co/KOXIzYsyYc
123,X fin algo bueno hizo el @elcomercio_peru no va más la columna de @galdosoficial en la revista SOMOS...
124,"RT @VeroNOVA1: Perú no te equivoques de nuevo !!
Conoce bien a @Vero_Mendoza_F y @julioguzmanperu que son tremendas joyitas cómplices de la…"
125,"@laconchacaviar @MartinVizcarraC Q tal resultó, Martincito era un lobo disfrazado de oveja, peor q PPKUTRA"
126,RT @laconchacaviar: @mili_Brujita @MartinVizcarraC Lo dudabas? Hace raro que #Vizcarra esta cubriendo todos los frentes para mantenerse en…
127,#FueraGaldos https://t.co/CAQOB5CfKr
128,@galdosoficial Es un infeliz q salió de cualquier hueco menos de una mujer!! https://t.co/6L84wV93uz
129,RT @Xileone: Carlos Galdos es un progre que se deleita insultando a Keiko en vivo en una radio que recibe publicidad del Estado. Ese compor…
130,"RT @jorgevillenal: Por mucho menos, sacaron a Phillip Butters de Radio Capital
¿Cuanto de publicidad estatal recibe dicha emisora?"
131,"RT @alvarosarco: Lo de Carlós Galdós no hay que tomarlo sólo como una broma imbécil y cobarde contra @KeikoFujimori, Carlos Galdós usa @Cap…"
132,#4VecesNo #4VecesNo https://t.co/4WvM6LPoZx
133,Nos queda claro q detrás de todo esto está @MartinVizcarraC https://t.co/D3QCYpdzaA
134,"RT @milytakayama: Indignante, asqueroso y denigrante el comentario de @galdosoficial hacia la mujer peruana. Sres. @Capital967 como mujer y…"
135,RT @RichardMontoyaR: Este miserable ofende a todas las mujeres en general no solo a Keiko Fujimori y a las Fujimoristas. o a él quien lo pa…
136,"RT @JoseNoriega1969: Cuando atacaron a Meche Araoz por llorar con una madre, a la que habian asesinado a su hija, mostré mi rechazo y dije…"
137,Full RT 👇🏼 https://t.co/nRCZl5sYvT
138,"RT @Humbertolaechea: Otra lacra,q esta en los medios como sicarios,porque les gusta la mermelada https://t.co/JRyWyVi7vC"
139,@laconchacaviar @noticias_tvperu @KeikoFujimori Obvio!!! 🤭
140,@laconchacaviar @noticias_tvperu @KeikoFujimori Estoy muy al día en todo!!
141,"@CarlosGaldos @galdosoficial Si es @galdosoficial el muy marica me tiene bloqueada, quizás x eso no le puedo etiquetar..."
142,Excelente!! Así se habla... Vamos con fuerza y firmeza 💪🏼💪🏼💪🏼💪🏼 https://t.co/8kW5FQemVp
143,RT @DitelColumbus: La @Defensoria_Peru se pronuncia respecto a la falta de diligencia en el cumplimiento de plazos legales en en el caso de…
144,"RT @MarthaChavezC: Hay una mujer, Keiko Fujimori, que recibió el voto del 50% de los peruanos y está injustamente detenida -sin prueba de h…"
145,"Algo se cocinaba en palacio, xq Martincito @MartinVizcarraC no quiere ser embarrado en su dízke popularidad... Pero… https://t.co/h5MBH3KzbQ"
146,"RT @chechechacon: ""Secretaria Ejecutiva de la CIDH recibió hoy el pronunciamiento en el que parlamentarios y exparlamentarios peruanos expr…"
147,Peor aún habiendo salido de una mujer!!! https://t.co/9zmRK7ygdD
148,Así de imbeciles son estos periodistas!! https://t.co/SCzdJmBtCe
149,@laconchacaviar @noticias_tvperu @KeikoFujimori Así de imbeciles son estos HDP
150,RT @laconchacaviar: @mili_Brujita @noticias_tvperu @KeikoFujimori Insulta con nuestra plata el imbécil ese.
151,RT @dil_dilber: @mili_Brujita Es la peor información desbordante y cómplice de los mafiosos y saqueadores del país. Población tiene q censu…
152,Como ratas 🐀 se irán https://t.co/HN0naRqpo8
153,@ESisifo @noticias_tvperu @KeikoFujimori Se tomó la frase de Alan y no se da cuenta quién es el borrego imbecil...
154,"Pobre infeliz @CarlosGaldos no te olvides q tienes una hija, y todo absolutamente TODO SE PAGA EN ESRA VIDA Y HASTA… https://t.co/0DOS4dWXAY"
155,@laconchacaviar @ESisifo https://t.co/abdtGrDpqG
156,Así mismo como lo vez... https://t.co/S1dgK6zAPr
157,@giberita @noticias_tvperu @MartinVizcarraC No olvidemos q así empezó Venezuela... Mucho ojo a donde estamos yendo a parar.
158,Vamos con todo Dra xq al final la verdad siempre sale a la luz!!! https://t.co/agoszQWsPD
159,Miren bien el rostro de la PROSTIPRENSA y ahora viene del canal del estado @noticias_tvperu Será acaso q recibe ord… https://t.co/JGoxpJ7sn6
160,"Ese es el nivel de periodismo en el Perú, no olvidemos q Lorena Álvarez tbm hizo lo mismo en las eleciones electora… https://t.co/OBoC0WJLVK"
161,Miremos bien este rostro👇🏼 El periodista del canal del estado q todos los peruanos pagamos su sueldo con nuestros i… https://t.co/twfkm2RMlt
162,"RT @mlukacs: ""Su megalomanía es tan extrema que usted quiere su propia historia, su propio relato, al margen de la democracia y la continui…"
