,Tweets
66,RT @OpineSesame: excuse me sir have you heard the good news about the death of capitalism
67,RT @JordanUhl: You fucking voted for the tax bill https://t.co/iXt4v8LShT
68,RT @sadgirlkms: *google searches while bawling my eyes out* how to make soap
69,"RT @willynugent: Pasa en partidos políticos, pasa en el poder judicial, pasa en universidades... https://t.co/JqvmEQNLrP"
70,Qué fue https://t.co/PWV45HBkLn
71,RT @DA_Banks: I wrote about this hearing yesterday: https://t.co/z65sz5Ebuu
72,RT @trainsporking: los hermanos fefer https://t.co/y0syoHqcOX
73,"RT @anacalderont: desde el cole mis amigas y yo nos desahuevamos mutuamente y creo que por eso las quiero tanto, porque cuando yo actuaba c…"
74,"RT @anacalderont: Si tu amiga es racista, dícelo. Si tu amiga trata mal a la gente, desahuevala. Si tu amiga tiene comentarios machistas, e…"
75,"RT @TaniaPariona: Nos solidarizamos con Arlette Contreras por la decisión que ha tomado la Sala de Lima Norte que anula la sentencia, pero…"
76,"RT @eloctavosamurai: ¿Y si nos juntamos para terminar con la privatización de la educación? Digo, como para acabar con todo el alboroto de…"
77,"RT @ojosdeuva: 2016:

Pliego presupuestal de la UNMSM: S/.439 776 millones.
Estudiantes: 32 623
Inversión x alumno: 
S/. 13 480.

Ingresos…"
78,RT @carlosseaburre: gracias a mi sobrina @etnocacerismos he sacado estos politos de fiebre aviar. hay en azul marino y gris. los estaré ven…
79,RT @3s3suj3to: Hola soy palo y me ENCAAANTA la caca
80,Asu que miedo salir a la calle sabiendo que edu saettone está  al volante
81,RT @etnocacerismos: yo en el cole cuando le patee a un huevon que me jalaba el pelo y los del dpto de normas me llevaron a dirección https:…
82,Tkm por favor elimina mi número de tu base de datos
83,RT @Ojo_Publico: #OPArchivo Las offshore del tesorero aprista en la campaña presidencial de Alan García en el 2006. #PanamaPapers https://t…
84,"RT @saltamontess: yo, poniéndome siempre en ese lugar, en el que nadie quiere estar: el de los que reclaman... por las huevas forjar una ca…"
85,RT @luisioux: ¿Profesores que repiten año tras año las mismas diapositivas sin hacer ni pizca de investigación recibían un sueldazo de Marc…
86,RT @116stCU: Por favor deténganse un minuto a pensar en cómo hacer para defender el derecho que tienen personas como esta a cagarle la vida…
87,"RT @ConvocaPe: #LOÚLTIMO En Chiclayo, el Poder Judicial ordenó la detención preliminar del  alcalde electo de Olmos, Willy Serrato, y contr…"
88,"RT @chick_in_kiev: i’m a socialist, although in america this mostly just means “i think it’s bad that you die broke when you have cancer” a…"
89,"RT @InquilinatoMad: 1. ⚠️ULTIMA HORA ⚠️
La jueza del caso #PepiSeQueda exige al Gobierno que el desahucio se ejecute sí o sí y que sea de m…"
90,"RT @Uultrabeba: @meiermq @roncallamanuel Lo más triste de esta broma es que la hace una mujer. Pondría RIP Martha Meier, pero pierde sentid…"
91,RT @etnocacerismos: celebran2 el primer año de la tiendita jxjx https://t.co/MxB6uU8Ra9
92,"RT @whimsley: ""Most Experts Think AI Will Make the World a Better Place""  

Unfortunately that's experts in AI, not experts in what makes t…"
93,"RT @_TimBarker: ""All agree, however, that Pinochet was a villain. And therein lies their mistake... Chile had Pinochet, but other Latin [si…"
94,RT @_TimBarker: It only took like 30 minutes to find these quotes (I rushed--also why some of the pictures are bad). They're in everything…
95,"RT @_TimBarker: reparations are bad idea because ""whites, too, suffered because of slavery"" https://t.co/I6Ef029gok"
96,"RT @_TimBarker: Douthat's article was teased on the cover as ""Free Pinochet."" The back cover of a subsequent issue jokingly announced a pro…"
97,RT @pitucos_txt: kmo puedEz Zer Komunista rojeTe si TuitEas deSde uN AifOooN
98,https://t.co/f4ai94i6WA
99,RT @juanitocbueno: Estoy en contra del lucro en la educación. Pero si el punto medio entre las universidades negocio y las públicas son las…
100,RT @nn_dgg: DESDE EL NEOLÍTICO. https://t.co/86xEvdrOqp
101,RT @OpineSesame: capitalism is the most efficient system https://t.co/QDk2pTQn5I
102,"RT @ciccmaher: Siri, define “self-own.” 

“Unfortunately, the pro-America side was torn apart by Ciccariello-Maher’s passionate rhetoric...…"
103,"RT @rodriguezzmar_: Que tu novio te penetre mientras intentas dormirte, que se enoje porque no tenes ganas de tener sexo, que te culpe por…"
104,RT @etnocacerismos: same https://t.co/5odBKD3TqX
105,"RT @saltamontess: Por lo demás, igual ya está pagando caro su voluntaria ignorancia. Renunciar a la golleria académica es lo mínimo que sac…"
106,"Y no Raúl,  yo también trabajé para una corporación pero nunca le di rt al fotógrafo Gary desde mi cuenta personal. Xoxoxo"
107,@etnocacerismos https://t.co/sKd2W36xRS
108,RT @etnocacerismos: hoy cumplo un año desde que empece a vender politos como perritos tristes 🤯🤯
109,RT @etnocacerismos: que mas pueden esperar de una universidad que te hace la vida imposible solo porque no tienes plata jaja
110,RT @pitucos_txt: https://t.co/obiP7hb3Wg
111,@etnocacerismos A juliana oxenfoahshdhs
112,O a diego Salazar
113,RT @juliamengo: Ojalá la denuncia a Darthes no se agote en la compasión por la víctima y la demonización del violador. Esto tiene que desar…
114,Que palta decirte de izquierda y validar a renan  ortega xdxdxdxdxdfdxdfd
115,RT @fideosrojoss: que vergüenza este gil https://t.co/GKzSqzL2AA
116,RT @etnocacerismos: ni cagando lo trendy ahora es usar la pantaloneta de colegio ME LARGO https://t.co/8heMSN9Rrz
117,"RT @etnocacerismos: el mismo banco al que todos se la chupaban en la marcha del orgullo gay????,,,,, no ,,,me ,,, lo ,,,esperaba https://t.…"
118,"RT @IndiraHuilca: Competitividad SÍ, pero NO precarizando a trabajadores.
Presidente anuncia Política de Competitividad dialogando solo con…"
119,RT @luisioux: La carta de Pepi Patrón es lo más bajo escrito por una autoridad Pucp.
120,RT @_SurferCalavera: Quiero agarrar a patadas al imbecil que le dijo a Paloma Derteano que era chistosa
121,RT @saltamontess: ¿Qué les sorprende entonces que la vicerrectora @pucp no haya sabido de los cobros ilegales? Coincide con el modo de flot…
122,"RT @soythelmafardin: “Mirá cómo me ponés” no es la única frase que este tipo me dejó. “Siempre vas a tener trabajo, porque a donde vaya ven…"
123,"RT @Uultrabeba: En 1931 la revista de la Sociedad Nacional de industrias, en su objetivo por promover la industrialización del Perú, racial…"
124,RT @JaneMayerNYer: Don't forget the Kochs' 1980 Libertarian Party platform called for abolishing the IRS - sounds like they're getting clos…
125,"RT @rtraister: So proud and excited to support the unionization of my workplace. I love @NYMag, love my bosses and colleagues there, and am…"
126,"RT @ColdWarScience: ICYMI: ""Science Is Not Apolitical,"" Extended Cut. https://t.co/OIiWkzYCln"
127,RT @juanitocbueno: Mi recomendación para los estudiantes de la PUCP es que escuchen atentamente las sugerencias de los profesores viejos qu…
128,"RT @zei_nabq: every billionaire is, by virtue of their position as such, a sociopathic freak

https://t.co/KqEx7lYHAr"
129,RT @VR0NLINE: I can't wait for all the billionaires to  leave earth to go do settler colonialism to mars and turn it into space australia
130,RT @laueme: 5 canales de noticias tratando la denuncia contra el violador Juan Darthes. Ni una sola mujer. Todos conductores y opinadores v…
131,"RT @AngelColunge: Por favor suban más el precio del estacionamiento a ver si toda la gente con auto particular lo deja en su casa, aprende…"
132,RT @ccharlibaby: JUAN DARTHES VIOLIO A THELMA FARDIN A SUS 16 AÑOS EN EL 2008 EN UNA GIRA DE PATITO FEO EN NICARAGUA.THELMA HIZO LA DENUNCI…
133,"RT @mssalinger: renunció marcial. rosa maria palacios es la rey midas de las renuncias 

jajaja"
134,"RT @octavodepollo: La PUCP: *es elitista, abusiva, prepotente y hace cobros ilegales a sus alumnos desde hace años a la vista de todos*

Eg…"
135,"RT @grancomboclub: Hasta el empujón, malo como fue, le perdonaban. La entrevista con RMP ya fue demasiado. Una cachetada a toda la comunida…"
136,RT @grancomboclub: Con su nefasta intervención en la PUCP quedó claro que RM Palacios es experta en descontrol de daños
137,"RT @juanitocbueno: Rosa María Palacios asesorando a Willie E. Coyote. ""Usted lo que necesita es comprar más productos ACME"", le dice riéndo…"
138,"RT @eisingerj: If there's one journalism thing I've learned, it's that people really like True Crime. So here's a pitch: This is a true cri…"
139,"RT @littlestwayne: the last thing i want is a man sending me memes. first off i live on twitter. second, im funnier than you. so jot that d…"
140,RT @jacobinmag: The Yellow Vests movement in France is raising up a vital message: corporations and the rich should pay for the climate cri…
141,RT @cremoness: https://t.co/Kc3brH5L8H
142,RT @LaSandunga7: La pequeñita cargando el premio con el digno uniforme de las mujeres que luchan! 💪💪💔💔 https://t.co/RqVwCpQXp3
143,RT @Ojo_Publico: #OjoAlDato Al cierre de este 2018 el Gobierno dejará de recaudar S/16.498 millones por la aplicación de privilegios tribut…
144,"RT @FrankPasquale: Privacy as commodity in AI's colonialist value chain: ""Zimbabwe will export a database of their citizens’ faces to China…"
145,RT @estoy_gorditoo: @etnocacerismos @duermalok More like dis https://t.co/X1KwA9VYtx
146,"RT @satariano: HUGE new NYT investigation about location data. Your whereabouts (home, school, church), pulled from apps on your phone, the…"
147,"RT @satariano: This is an opaque and largely unregulated market. Companies say the info is anonymous, but reporters got access to the raw d…"
148,RT @cunilinguz: increíble la pelea contra el narcotráfico fuerza bullrich https://t.co/tDK0E7bk26
149,Imagina la cantidad de coca que debes consumir para legitimar esta idea https://t.co/g8cmGtBMQS
150,RT @SweetSalvat0re: Como les encanta NORMALIZAR la violaciones a los varones. Es increíble la verdad. Parecen fanáticos del abuso https://t…
151,RT @MaraAlejandraGi: Una convocatoria que sólo daba dos semanas para armar una carpera de postulacion internacional y además ridiculamente…
152,"RT @saltamontess: la fantasía del capital se fue a la mierda en el 2008, cuando ningún banquero se fue a la cárcel en Gringolandia (solo en…"
153,@etnocacerismos Sin nada que perder salvo las cadenas
154,RT @etnocacerismos: white culture es quejarte de que escriben mal tu apellido
155,RT @tech_cadena: https://t.co/ZEZDGmNkdz
156,"RT @carlosseaburre: CARAJO NO SE PELEEN, https://t.co/CbvTqixqOf"
157,RT @etnocacerismos: https://t.co/GZBjI1RoNU
158,"RT @etnocacerismos: iguak soy tu ex mas chevere, basura"
159,"RT @Ojo_Publico: #DíaDeLosDerechosHumanos En 1985, la patrulla de Telmo Hurtado entró a #Accomarca, conoce la historia de las víctimas que…"
160,Estoy solicitando al presidente la eliminación de los liberales https://t.co/1FQQ6GBYrK
161,"RT @Uultrabeba: Alan en 2008: ""Cada año más de 560mil jóvenes se incorporan a buscar empleo. El Estado no puede crear 560mil puestos pblcs…"
162,RT @etnocacerismos: https://t.co/hncMlxSQ2M
