,Tweets
46,"Marisol Pérez Tello: “El acoso político es una forma de violencia"".

#SigridPE por #RTV
 En vivo:
https://t.co/1KVEOYkAnl"
47,"Marisol Pérez Tello: “El caso de la agresión contra Paloma Noceda es un patrón de una conducta machista”

#SigridPE… https://t.co/ijJGfIFSCF"
48,"¡Ya está en vivo #SigridPE por #RTV!
Hoy conversamos con la exministra de Justicia Marisol Pérez Tello. https://t.co/v4FGPZQtJJ"
49,"¡A las 10:15 am. arranca #SigridPE por #RTV!
Hoy conversamos con la exministra de Justicia, Marisol Pérez Tello.

T… https://t.co/aVJyl3QPlg"
50,"""Resulta penoso ver al rector Marcial Rubio, igual que años atrás, empujando a los alumnos y esta vez admitiendo: “… https://t.co/em0TwPcOoO"
51,RT @larepublica_pe: #URGENTE | PUCP: rector Marcial Rubio renunció a su cargo tras escándalo por cobros ilegales ►https://t.co/DW1WIHhd2r h…
52,El error es mantener un beneficio que permite a condenados como Edwin Donayre y denunciados por acoso como Mamani e… https://t.co/MTdwIKjvt1
53,"¡En buena hora! Teniendo el CNM desactivado, urge que se trabaje pronto para que la Junta Nacional de Justicia inic… https://t.co/VCXLjdmbJa"
54,RT @Politica_LR: Indira Huilca pide al CAL que evalúe sancionar al abogado de Mamani ► https://t.co/nTbx6oh32z https://t.co/KJt0RYYuWe
55,"La aeromoza no era la única víctima, habían más. Mamani no solo las acosó, también abusó de su cargo como congresis… https://t.co/5QJSGuUFE9"
56,"RT @monvalpa: Miren esto, qué abuso @MindefPeru, así no se trata a nuestros  soldados! Cc @pcmperu @CesarVPeru https://t.co/a4Wz9exznK"
57,"#AHORA | Paolo Guerrero llega a la Prefectura, donde se encuentra detenido Edwin Oviedo. Se informó que llegó para… https://t.co/8r5xvN0h6Y"
58,El mismo q defendió a Mamani alegando q científicamente un tocamiento indebido se da de abajo para arriba y no de a… https://t.co/fGaK0V8Ezz
59,Interesante. https://t.co/gnZPdg5B5N
60,#YDaleU ❤ https://t.co/SsLjG7EDTs
61,"RT @ConvocaPe: Ministro del Interior, Carlos Morán, señaló que brinda su respaldo al trabajo del coronel Harvey Colchado como jefe de Divia…"
62,¿Cómo es posible que Alan García tenga informantes dentro de la institución que lo investiga? Esto es obstrucción a… https://t.co/GJlakfAlG5
63,"RT @monvalpa: Ajá! Esta es la jugada detrás de la ""autodisolución"" deslizada por García Belaunde quien, como zorro viejo que es, pretende d…"
64,RT @larepublica_pe: Juan Sheput - Congresista de PPK en https://t.co/5GuGRGFFyv: https://t.co/hGBMGWb7Qm vía @YouTube
65,"RT @AlbertoBelaunde: Tomando en cuenta el mensaje ciudadano ayer en las urnas, estoy solicitando al presidente del Congreso que coordinemos…"
66,"Juan Sheput: ""El perfil para el premier debe ser más alto y cambiar""

#SigridPE por #RTV
En vivo:
https://t.co/18QbjOOQGv"
67,"“Es indiscutible que se necesita una reforma laboral”.

#SigridPE por #RTV
En vivo:
https://t.co/18QbjOOQGv"
68,"Juan Sheput: ""No es la primera vez que me ofrecen un cargo en este gobierno. No voy a decir en qué carteras. En tod… https://t.co/YO3EaV6UQi"
69,"Juan Sheput: ""Este es el momento de recomponer el gabinete""

#SigridPE por #RTV
En vivo:
https://t.co/18QbjOOQGv"
70,"Juan Sheput sobre el referéndum: ""Esto que hoy es un triunfo, mañana puede ser una derrota cuando se vea que el ref… https://t.co/lkdgoTxrye"
71,"Juan Sheput: ""Coincido en convocar una legislatura extraordinaria para que saquen la ley orgánica"".

#SigridPE por… https://t.co/dNY3g16ajb"
72,"Juan Sheput: ""Creo que el premier hace mal en atribuirse como un éxito algo que es propio de la ciudadanía""… https://t.co/LExFrTlSkz"
73,"Juan Sheput: ""El Perú ha votado sin saber por qué votaba"".

#SigridPE por #RTV
En vivo:
https://t.co/18QbjOOQGv"
74,"Rafael Rey, miembro del directorio del BCR, acompañó a Keiko Fujimori en la lista presidencial de Fuerza 2011 como… https://t.co/oz4075UMbD"
75,"¡Comenzó #SigridPE por #RTV!
Hoy nos acompaña el congresista de Peruanos Por el Kambio @JuanSheput, con quien habla… https://t.co/boGvCnIYcu"
76,"¡A las 10:15 am. arranca #SigridPE por #RTV!
Hoy conversamos con el congresista de Peruanos Por el Kambio… https://t.co/NeovukAGp6"
77,"RT @larepublica_pe: No te pierdas el #Heduardicidio de hoy, por @heduardo50 ► https://t.co/1oQRr8hAJt https://t.co/M8wiSCjgU0"
78,"Resultados del #Referéndum confirman 2 cosas: 
1. Respaldo de la ciudadanía a Martín Vizcarra (postura del Sí,Sí,Sí… https://t.co/kiPT1la1w8"
79,Resultados según Ipsos.
80,"#Referéndum2018

1) Junta Nacional de Justicia:
SI 87.1% // No 12.9%

2) Fiscalización de partidos políticos:
SI 85… https://t.co/XNPzb6lM4o"
81,"#URGENTE #Referéndum2018 
Resultados a Boca de Urna
1. Sí
2. Sí
3. Sí
4. No
Resultados coinciden con la postura pla… https://t.co/jpeMfizBAP"
82,Grande Valentina Shevchenko. Merecidísimo el título.💪❤ https://t.co/yOQjZODLz3
83,"¡¡¡Ya estamos al aire!!!
#Referéndum2018 por #RTV https://t.co/086iS3VeWH"
84,Acá estamos !!! Arrancamos en breve por todas las plataformas de @larepublica_pe https://t.co/13qkq7xO49
85,"¡¡¡Buenos días a tod@s!!!
Hoy es día de referéndum y estaré informando desde las 8:00 am. a través de las redes de… https://t.co/xhlZhBBZSB"
86,"RT @IndiraHuilca: A las mujeres NO se les toca de arriba a abajo, ni de abajo a arriba. A las mujeres NO se les toca sin su consentimiento.…"
87,"RT @dsalaverryv: Saludo la valiente denuncia de la congresista @PalomaNoceda, le he informado que la Procuraduría del Congreso está a su di…"
88,RT @Elcholaco: Así fue cómo la congresista Paloma Noceda denunció que fue víctima de tocamientos por parte de otro parlamentario. https://t…
89,RT @Politica_LR: Daniel Salaverry dispone investigación por denuncia de acoso de Paloma Noceda https://t.co/ui8IZZawzZ https://t.co/jxFqYDM…
90,"#URGENTE | SUSPENDIDO. Con 94 votos a favor, dos abstenciones y cero en contra, el Pleno suspendió por 120 días a… https://t.co/tuNLsHJaUT"
91,"Luz Salgado dice que es su último periodo en el Parlamento.
Viendo la posición de la población sobre la reelección… https://t.co/RpojpUbX6t"
92,"Fuerte. La congresista no agrupada Paloma Noceda acaba de revelar que uno de sus colegas le hizo un ""masaje asquero… https://t.co/1UlMMFFHgb"
93,"Si dice que no la tocó, entonces ¿por qué su abogado alega que manosear se arriba para abajo no es indebido? https://t.co/bJlr1UzdX2"
94,"RT @aguilarcarlos7: #AHORA Mientras tanto en los exteriores del Parlamento un grupo de ciudadanas exclaman: ""¡Escucha Congreso, Mamani debe…"
95,Blindar hoy a Mamani sería darle la razón al asqueroso argumento de su abogado: que solo es tocamiento indebido si… https://t.co/xRMssyiCsC
96,"No solo #MoisésMamani nos mostró que tan sinvergüenza se puede ser, también uno de sus abogados, quien considera qu… https://t.co/OCrUz510yM"
97,"#MoisésMamani dice que varios congresistas le han dicho ""tú no has hecho nada"".
¿Quienes? Fácil, los que voten a fa… https://t.co/rFMaDV8JHB"
98,"#AHORA | pasadas las 10:15 am. arrancó la sesión extraordinaria en el Pleno, donde se decidirá si suspenden o no a… https://t.co/7ntTCqremY"
99,Hoy estaré a partir de las 9pm en vivo por @Capital967 !! Los espero 🙂 https://t.co/JrWTAKMlGH
100,"Según el señor Oviedo, los trabajadores que protestaban en su contra eran pagados por “la competencia”. Las persona… https://t.co/5hMn6c2gQL"
101,"#URGENTE | Ordenan 18 meses de prisión preventiva para Edwin Oviedo, señalado como presunto cabecilla de la organiz… https://t.co/aPltpwegeS"
102,"En teoría, la legislatura acaba el 15, digo en teoría porq como se adelantó la semana de representación (del 10 al… https://t.co/yMIgtLxk8W"
