,Tweets
45,RT @larepublica_pe: #EditorialLR | Espinas clavadas. Los casos emblemáticos de corrupción o delitos graves que el Congreso evade ► https://…
46,RT @larepublica_pe: #EnPortada | Crisis congresal por ley con trampa que favorece a políticos investigados por lavado de activos https://t.…
47,RT @larepublica_pe: ¡Buenos días! Nuestra portada de hoy ► https://t.co/A19UvFSi42 https://t.co/eft15WBRs0
48,"Por fin, Alan García se retira de la política y se dedica al humor. ¡Bienvenido! https://t.co/EkaIivoJ9z"
49,"Heduardicidios, diciembre 8-2018, @larepublica_pe -&gt; https://t.co/l73VhDfd4w https://t.co/CcmTxldVEB"
50,RT @alvarezrodrich: Pensé lo mismo y usé en mi columna durante varios meses el término “fujialanismo” pensando que había una corriente apri…
51,"Estos 7 congresistas de Peruanos por el Kambio (PPK) votaron por la ley a favor del lavado de activos:
Gilbert Viol… https://t.co/SLpBj6asgM"
52,"RT @miguelmartin40: Un país donde los libros pagan impuestos y los casinos no, solo grafica la clase de dirigentes políticos que tiene sino…"
53,"RT @Politica_LR: Edwin Oviedo: juez acepta 18 meses de prisión preventiva por caso 'Wachiturros'
►https://t.co/gWAgPr6ZM9 https://t.co/lnlP…"
54,"@cnddhh @jfowks @larryportera @rmapalacios @pavese @larepublica_pe @elcomercio_peru @WaykaPeru Es una trome, merece… https://t.co/yWOXQbMQLq"
55,"Hasta las huevas todo, los hermanitos son una plaga. https://t.co/LionEknybp"
56,Primer movimiento de la Sinfonía del SI-SI-SI-NO https://t.co/7MkRK1n5AL
57,RT @ensustrece: En @ensustrece: PLAN CHÁVARRY. El Fiscal de la Nación espera días propicios para deshacerse del fiscal José Domingo Pérez.…
58,"Bueno pues, ahora tenemos un Chávarry como fiscal de la Nación y un Chávarry como presidente del Poder Judicial. Y… https://t.co/KYFZcdLFxg"
59,"Nos toca a nosotros respaldar a los fiscales valientes que luchan contra la corrupción, porque Chávarry y los cuell… https://t.co/i7yqEvcURz"
60,RT @hurgamemoriaPE: Y pensar que hace muy poco un Presidente fue vacado cuando se hicieron evidentes sus casos de conflicto de interés. Per…
61,"RT @Dmorazevallos: El miedo del Sr Garcia es tan grande que avergüenza, a mi me han denunciado 8 veces por parte de la ANR y sus cómplices…"
62,RT @ensustrece: En @ensustrece: CUBA DELATÓ A GARCÍA. Lo dicho hasta ahora por el hombre que recibió $8 millones de #Odebrecht ya resulta d…
63,RT @recisneros: En el Perú de los noventa el Congreso aprobaba leyes que beneficiaban a los corruptos sin que nadie reaccionara ni pudiera…
64,"RT @larepublica_pe: Lee la columna de opinión de @Angelpaezs: ""Los podridos"" ► https://t.co/MygOBO7y01 https://t.co/N8Q94SZjCK"
65,Todavía hoy se puede ver en la tele a periodistas tratando de rescatar el psicosocial de AG. Eso es amor verdadero. https://t.co/21y5fppyLq
66,"RT @PCaterianoB: Hoy en @ensustrece : ¡García delatado! Sin duda alguna el ex pdte @AlanGarciaPeru tiene una probada responsabilidad penal,…"
67,"RT @ensustrece: La nueva edición del semanario de César #Hildebrandt, ""Hildebrandt en sus trece"", ya está en las calles. https://t.co/konoV…"
68,"RT @larepublica_pe: No te pierdas el #Heduardicidio de hoy, por @heduardo50 ► https://t.co/WUCsD5zaDh https://t.co/atxrjEKw8i"
69,"RT @larepublica_pe: Lee la columna de opinión de @alvarezrodrich: ""Porque el fujiaprismo nunca muere"" ► https://t.co/swexvdBtbU https://t.c…"
70,RT @larepublica_pe: #EditorialLR | Reflejos intactos ► https://t.co/6l0yw6rLtZ https://t.co/CUHdYaPc2I
71,RT @larepublica_pe: ¡Buenos días! Nuestra portada de hoy ► https://t.co/aMs70KPnGt https://t.co/YKvM3uhyLm
72,"Heduardicidios, diciembre 7-2018, @larepublica_pe https://t.co/q6WmFjN6AK"
